module_name,module_key,actionCards,procedures,videos,drugs,keyLearningPoints,total_resources
ኢንፌክሽንን መከላከል ,infection-prevention_1487676001934,,mixing-alcohol-based-handrub_1487245431108,"/ethiopia amharic/Infection prevention/intro, /ethiopia amharic/Infection prevention/hand_hygiene, /ethiopia amharic/Infection prevention/procedure_for_handwash, /ethiopia amharic/Infection prevention/procedure_for_handrub, /ethiopia amharic/Infection prevention/personal_protective_equipment, /ethiopia amharic/Infection prevention/storage, /ethiopia amharic/Infection prevention/housekeeping, /ethiopia amharic/Infection prevention/hiv_hepatitis_b_prevention",post-exposure-prophylaxis---pep_1490708337530,"prevent-infections_1497356424386, hand-hygiene-wash-and-alcohol_1497356912190, use-alcohol-based-handrub_1497357082394, soap-for-handwashing_1497357310306, personal-protective-equipment_1497357545527, gloves-for-different-patients_1497357682494, soap-solution_1497357821040, package-of-sterile-items_1497358040371, storage-of-sterile-items_1497358161852, cleaning-and-delivery-bed_1497358695244, recommended-vaccination_1497358858644, infections-and-maternal-death_1498119404097, infection-and-neonatal-death_1498119889065, infection-and-germs_1498122575522, healthcare-workers-hands_1498122780668, alcohol-most-effective_1498123474560, no-jewellery-on-hands_1498129645819, towel_1498130033393, when-hand-hygiene_1498130470830, order-of-cleaning-and-storage_1498131043643, disinfection-solution_1498131845883, spread-of-hiv-and-hep-b_1498132068449, when-hand-hygiene_1498206602602, wash-hands_1498466635307, procedure-for-handwashing_1498466869003, amount-of-handrub_1498468033321, product-in-alcohol-based-handrub_1498468332125, label-of-alcohol-based-handrub_1498468847400, removing-gloves_1498469162217, gloves-for-birth_1498469312963, high-risk-area_1498469624522, transmission-most-likely_1498469768452, action-if-exposed_1498469888180, soap-wet-container_1504268064997, air-dry-hands_1504268482403, product-in-alcohol-based-handrub-2_1511791111025",46
የድህረ ውርጃ እንክብካቤ ,post-abortion-care_1487676484604,"definitions_1486843717068, emergency-management_1486843944185, following-management_1486845338095, emergency-referral---post-abortion-care_1527679414998","cleaning-manual-vacuum-aspirator_1487245553833, urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/ethiopia amharic/Post abortion care/intro, /ethiopia amharic/Post abortion care/how_to_diagnose, /ethiopia amharic/Post abortion care/how_to_manage, /ethiopia amharic/Post abortion care/evacuation_of_the_uterus, /ethiopia amharic/Post abortion care/manual_vacuum_aspiration","ampicillin_1486975748548, diazepam_1487102080825, gentamicin_1487679704293, ibuprofen_1490364323757, metronidazole_1487112262252, morphine_1487151518002","complication-to-unsafe-abortion_1504773499553, urine-test_1504773825842, complication-to-abortion_1504774087137, fever-and-septic-abortion_1504774293226, what-to-measure-_1504774413976, signs-of-septic-abortion_1504887365737, suspect-lower-abdominal-tenderness_1504887830839, septic-abortion-can-be-fatal_1504888032303, most-important-action-at-septic-abortion_1504889099044, action-at-septic-abortion_1504889244498, ab-and-evacuation-of-the-uterus_1504889778909, which-ab-to-give_1504889919542, urgent-management-_1504890132226, correct-order-of-actions_1504890487022, peritonitis_1504890766676, evacuation-of-the-uterus-_1504891033708, manual-vacuum-aspiration_1504891220598, uterus-size-in-week-12_1504891361270, preparation-for-mva_1504891579618, analgesic-for-mva_1504891713356, valves-closed_1504891839206, vacuum-to-mva-syringe_1504891916767, tenaculum_1504892022670, dilate-the-cervix_1504892212948, no-touch-technique_1504892332161, size-of-cannula-for-mva_1504893593707, insert-of-the-cannula_1504893750649, attachment-of-the-syringe_1504893864011, rotate-and-move-cannula-back-and-forth_1504893996349, end-of-suctioning_1504894096498, use-the-cannula-again_1504894223366, ab-after-mva_1504894299772, counselling_1504894423681, advise-before-dismission_1504894568322, test-version_1498639439941, septic-abortion-_1504773307717",54
በእርግዝና ወቅት የሚከሰት የደም ግፊት ,hypertension_1487677992452,"definitions_1486814136250, management-hypertension_1486815930026, management-eclampsia_1486815158568, emergency-referral---hypertension_1527674369336","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/ethiopia amharic/Hypertension/intro, /ethiopia amharic/Hypertension/definitions, /ethiopia amharic/Hypertension/causes, /ethiopia amharic/Hypertension/how_to_diagnose, /ethiopia amharic/Hypertension/management_of_hypertension, /ethiopia amharic/Hypertension/severe_preeclampsia_eclampsia","calcium-gluconate_1490273124941, hydralazine_1487109388353, labetalol_1490625535572, lidocaine_1494407526870, magnesium-sulphate_1487111473832, methyldopa_1487111904464, nifedipine_1487151847555, dexamethasone_1487101787771","severe-preeclampsia_1498640805283, gestational-hypertension_1498725687229, bp-gestational-hypertension_1498725828989, preeclampsia_1498726056310, severely-elevated-blood-pressure_1498726396275, severe-headache_1498726747222, visual-disturbances_1498727185096, upper-abdominal-pain_1498727830882, respiratory-distress_1498728011726, oliguria_1498728193444, eclampsia_1498728592426, eclampsia-normal-blood-pressure_1498728833764, differential-diagnosis_1498728983703, causes-of-pre-eclampsia_1498729147494, anc-blood-pressure_1498729463504, confirm-bp_1498732684396, confirmed-elevated-bp_1498733012381, eclampsia-maternal-and-perinatal-death_1498733194577, keep-systolic-bp-below-160_1498733307152, keep-diastolic-bp-above-80_1498733486432, labetalol_1498733591134, methyldopa_1498733669777, iv-with-bp-above-160-_1498733752579, hydralazine_1498733943552, eclampsia-seizures_1498734086062, magnesium-sulphate-24-hours_1498734258534, severe-pre-eclampsia-or-eclampsia_1498734362115, hypertension-and-urine-catheter_1498735254202, eclampsia---monitor-12-hour_1498735362891, give-magnesium-sulphate_1498735437004, mix-magnesium-sulphate_1498735538053, toxicity_1498735622169, antidote-to-magnesium-sulphate_1498735735523, maintain-dose-magnesium-sulphate_1498735869673, refer-and-eclampsia_1498735994297, lung-maturity_1498736081492, proteinuria_1505054086730, cure-of-pre-eclampsia_1505055063577, maternal-death-and-pre-eclampsia_1505055560037, action-eclampsia_1505059069497, fluid-overload_1505059297071, calcium-gluconate_1505059639547",62
የሶስተኛ ደረጃ ወሊድ የተፋጠነ ህክምና ,active-management-of-third-stage-labour_1487678773861,"routine-care_1486842306870, essential-steps-for-amtsl_1623158509004",breastfeeding_1537451109093,"/ethiopia amharic/Active management of third stage labour/intro, /ethiopia amharic/Active management of third stage labour/give_a_uterotonic_drug, /ethiopia amharic/Active management of third stage labour/assess_the_newborn, /ethiopia amharic/Active management of third stage labour/clamp_and_cut_the_umbilical_cord, /ethiopia amharic/Active management of third stage labour/controlled_cord_traction, /ethiopia amharic/Active management of third stage labour/examine_the_placenta, /ethiopia amharic/Active management of third stage labour/monitoring","antibiotic-eye-drops_1490261954893, chlorhexidine_1527580209518, misoprostol_1487112562173, oxytocin_1487156988152, vitamin-k_1487160613336, carbetocin_1551691910153","test-1_1497203846089, active-management_1499780658036, uterotonic-drug_1499780861769, oxytocin_1499780939312, exclude-second-baby_1499781002066, dose-of-oxytocin_1499781138851, when-to-give-oxytocin_1499781203804, storage-of-oxytocin_1499781280757, misoprostol_1499781426287, administration-of-misoprostol_1499781506837, when-to-assess-the-newborn_1499781574406, thick-meconium_1499782019890, suction-thick-meconium_1499782064819, dry-of-the-baby_1499782139883, wipe-of-baby_1499782205916, warm-baby_1499782287277, newborn-not-breathing-well_1499782350880, stable-newborn_1499782411878, clamp-umbilical-cord_1499782532294, cord-traction_1499782592747, counter-pressure-pubic-bone_1499782667213, rounded-uterus_1499782790928, push-for-the-placenta_1499782842943, check-uterus_1499782915737, measure-blood-loss_1499783000460, examine-the-placenta_1499783053169, maternal-surface-of-placenta_1499783139366, no-unattended-mother-and-newborn_1499783196382, skin-to-skin-contact_1499783293686, check-mother-after-birth_1499783355207, how-often-check-mother_1499783434630, how-often-check-newborn_1499783488277, check-the-newborn-after-birth_1499783546639, cord-monitor_1499783616183, eye-drop-and-vit-k_1499783708999, early-breastfeeding-newborn_1499783782397, early-breastfeeding-mother_1499783921892, active-management_1504529794145, delivery-of-membranes_1504531639638, estimation-of-blood-loss_1504531689289",56
የተራዘመ ምጥ,prolonged-labour_1487678855904,"indications_1486847771915, prerequisites_1486847909849, procedures-by-also_1486848037447, emergency-referral---prolonged-labour_1527679481738","urine-catheter_1487245590353, foetal-heart-rate_1487245616159, vacuum-extractor_1487245649303, intravenous-access-equipment_1487245827833","/ethiopia amharic/Prolonged labour/intro, /ethiopia amharic/Prolonged labour/causes, /ethiopia amharic/Prolonged labour/1st_stage_latent_phase, /ethiopia amharic/Prolonged labour/1st_stage_active_phase, /ethiopia amharic/Prolonged labour/2nd_stage_prolonged, /ethiopia amharic/Prolonged labour/2nd_stage_vacuum_extraction",oxytocin_1487156988152,"complication-prolonged-mother_1500303341759, complication-prolonged-infant_1500303472241, meaning-of-prolonged_1500303544246, four-ps_1500303686918, power_1500303769050, power-seconds_1500303835797, pelvis-passage_1500303897179, small-pelvis_1500303985877, small-pelvis-refer_1500304101224, passenger_1500304149296, psyche_1500304254893, normal-progression-first-stage_1500304315481, false-labour_1500304449630, false-labour-and-urinary-tract-infections_1500304515323, start-of-active-phase_1500304605377, start-partograph_1500304739350, vaginal-examination-interval_1500304824357, when-prolonged-first-labour_1500304876769, action-for-prolonged-first-labour_1500304936911, reassess-in-two-hours_1500305041698, cervix-fully-dilated_1500305095706, push_1500305543117, push-for-60-min_1500305592951, vacuum-after-60-min_1500305658715, indication-for-vacuum-extraction-_1500305701962, assess-of-fhr_1500305759343, critical-fhr_1500305923791, condition-for-vacuum_1500305971761, ga-less-37-at-a-hospital_1500306017747, risk-of-vacuum-extraction_1500306057945, preparation-of-vacuum_1500306101811, address-the-patient_1500306177213, flexion-point_1500306221884, steady-traction_1500306294118, give-up-vacuum-delivery_1500306346908, incision-rarely_1500306426261, performing-vacuum_1500306468033, vacuum-extraction-fails_1500306519814, cephalic-occiput-posterior_1504777759514, more-comfortable_1504777788729, prolonged-first-stage-latent-phase_1504777971422, contractions-causes-if-not-prolonged-latent-phase_1504777990862, prolonged-first-stage-active-phase_1504778019268, progress-of-labour_1504778029127, partograph-with-dilatation-between-alert-and-action-line-_1504778050950, cervical-dilatation_1504778060957, immediate-delivery_1504778233462, head-above-the-pubic-bone_1504778275952, posterior-fontanelle-where_1504778354078, posterior-fontanelle_1504778363034, placing-the-cup_1504778371941, check-for-maternal-tissue_1504778388031, flexion-point_1504778425046, intact-perineum_1504778470373, prolonged-second-stage_1504778541913",70
የድህረ ወሊድ ደም መፍሰስ,post-partum-hemorrhage_1487678905876,"1-uterus_1486846813345, 2-legs_1486846790935, 3-arms_1486846769297, emergency-referral---post-partum-hemorrhage_1527674790869","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, condom-balloon-tamponade_1490714664807","/ethiopia amharic/Post partum hemorrage/intro, /ethiopia amharic/Post partum hemorrage/uterus_massage, /ethiopia amharic/Post partum hemorrage/empty_the_bladder, /ethiopia amharic/Post partum hemorrage/bimanual_compression, /ethiopia amharic/Post partum hemorrage/resuscitation, /ethiopia amharic/Post partum hemorrage/give_uterotonic_drugs, /ethiopia amharic/Post partum hemorrage/trauma, /ethiopia amharic/Post partum hemorrage/tissue, /ethiopia amharic/Post partum hemorrage/monitoring_after_bleeding","ampicillin_1486975748548, cefazolin_1527579628032, diazepam_1487102080825, ergometrine_1487103846814, iron_1487110835869, misoprostol_1487112562173, oxytocin_1487156988152, tranexamic-acid_1490713231363","maternal-death-_1504532310198, loss-of-tone_1504532426966, call-for-help-then-stop-the-bleeding-_1504532471069, symptoms-for-pph_1504532547937, occult-bleeding_1504532588274, moderate-bleeding---characteristics-_1504532614848, uterine-massage-_1504532689921, empty-the-bladder-_1504532728261, vital-signs_1504532772329, strong-bleeding--characteristics_1504532942008, bimanual-compression_1504532979962, bimanual-compression-procedure_1504533043410, bimanual-compression-type-of-gloves-_1504533076462, pph-drugs_1504533111438, misoprostol-_1504533151987, ergometrine-_1504533241147, prioritize-manual-maneuvers_1504533285341, bleeding-from-a-vaginal-tear-_1504533312898, always-do-a-rectal-exploration-_1504533348068, placental-tissue-missing-_1504533398776, treatment-if-there-is-placental-tissue-missing-_1504533431739, removal-tissue-1_1504533465688, removal-tissue-2_1504533503753, when-to-measure-hemoglobin-_1504533536483, observation-after-treatment-pph-_1504533565253, cbt-is-indicated-_1504533594043, the-causes-of-vaginal-bleeding-_1504533620719, positioning-pph_1504533661330, positioning---vital-organs-_1504533702197, actions-helper-at-the-head_1504533732416, actions-helper-at-the-arm_1504533786043, referral-pph_1504533836750, iv-fluids-pph_1504533868169, oxytocin-storage_1504533913864, cardiovascular-symptoms-pph_1504533944971, what-would-you-do-within-15-minutes-at-moderate-bleeding-directly-after-birth_1643195036244",60
የእንግዴ ልጅን በእጅ ስቦ ማውጣት ,manual-removal-of-placenta_1487678949720,emergency-referral---manual-removal-of-placenta_1527679516504,"urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, condom-balloon-tamponade_1490714664807","/ethiopia amharic/Manual removal of placenta/intro, /ethiopia amharic/Manual removal of placenta/aorta_compression, /ethiopia amharic/Manual removal of placenta/resuscitation, /ethiopia amharic/Manual removal of placenta/drugs_before_removal, /ethiopia amharic/Manual removal of placenta/gloves, /ethiopia amharic/Manual removal of placenta/remove_the_placenta, /ethiopia amharic/Manual removal of placenta/drugs_after_removal, /ethiopia amharic/Manual removal of placenta/monitoring","ampicillin_1486975748548, cefazolin_1527579628032, diazepam_1487102080825, ergometrine_1487103846814, iron_1487110835869, misoprostol_1487112562173, oxytocin_1487156988152, tranexamic-acid_1490713231363","time-before-placenta-be-born_1500550057787, manual-removal-bemonc_1504534513078, remove-manually_1500550146760, when-manual-removal_1504534643086, life-threatening_1500550548020, heavy-bleeding_1504534768047, blood-inside-uterus_1504534828505, overall-action_1500550609958, excessive-bleeding_1504535064090, mother-in-shock_1500550773682, stop-bleeding-retained-placenta_1504535188380, how-aorta-compression_1500550835318, adequate-aorta-compression_1500550901996, maintain-compression_1500550952103, resuscitation_1504535401875, iv-fluid_1500551093153, fluid-gives-fast-_1500551155005, stop-compression-at-resuscitation_1504682726957, blood-transfusion_1500551204516, pain-relief_1500551251327, pain-relief-and-aorta-compression_1500551299297, gloves-and-manual-removal-of-placenta_1500551362316, how-to-manually-remove-the-placenta_1504686597840, aorta-compression-and-manual-removal_1504686794869, right-order-for-removal-of-placenta_1500551561159, repeat-intrauterine-palpation_1504687023070, manual-compression-ended-aorta-compression_1504687099431, placenta-detached_1500551743553, invasive_1504687163659, the-overall-action-to-control-pph_1500551855322, condom-tamponade_1500551920106, after-removal-of-placenta_1504687463704, bolus-drug-after-removal-of-placenta_1500551982282, action-right-after-removal-of-placenta_1504687629838, day-after-recommendations_1500552382430, refer-manual-removal_1500552464602",56
የእናቶች ደም መመረዝ ,maternal-sepsis_1487679043550,"definitions_1486838289048, emergency-management_1486839145753, following-management_1486840964786, identify-cause_1486841405518, emergency-referral---maternal-sepsis_1527674910564","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/ethiopia amharic/Maternal sepsis/intro, /ethiopia amharic/Maternal sepsis/how_to_diagnose_definitions, /ethiopia amharic/Maternal sepsis/how_to_manage, /ethiopia amharic/Maternal sepsis/following_management, /ethiopia amharic/Maternal sepsis/origin_of_infection, /ethiopia amharic/Maternal sepsis/hiv","ampicillin_1486975748548, artesunate_1487078838130, betamethasone_1487080183154, chloramphenicol_1487097224306, dexamethasone_1487101787771, dicloxacillin_1487103485964, gentamicin_1487679704293, metronidazole_1487112262252, penicillin-g-benzylpenicillin_1487157542019, quinine_1487158788622","meaning-of-sepsis_1504944629301, diagnose-sepsis_1504944721115, septic-shock_1504944788616, vital-signs_1504944907638, importance-of-fluid-management_1504944997773, assess-of-fluid-balance_1504945090408, fluid-balance-be-calculated_1504945280195, fluid-balance-be_1504945346611, in-case-of-a-septic-shock-it-should-be-calculated-each-hour_1504945415855, complications-to-sepsis_1504945501258, initial-management_1504945569353, circulation-_1504945650697, drugs_1504945729088, ampicillin-sepsis_1504945793742, gentamicin_1504945982881, metronidazole_1504946039271, ceftriaxone_1504946097782, tetracycline_1504946176147, chloramphenicol_1504946438452, malaria_1504946617389, malaria-drugs_1504946711304, artesuanate_1504946886646, artesuanate_1504946909791, quinine_1504947056059, dosage-artesuanate_1504947115207, dosage-quinine_1504947179913, the-6-ws_1504947235003, the-6-ws-continue_1504947447368, chorioamnionitis_1504947765349, endometritis_1504947835819, treatment-for-chorioamnionitis_1504947946364, treatment-for-endometritis_1504948024311, endometritis-and-no-effect-of-ab_1504948113282, mastitis_1504948177504, breast-abscess_1504948229532, wound-infections_1504948296628, other-causes-of-infection_1504948359563",60
አዲስ ለተወለደ ህፃን የማገገሚያ የአተነፋፈስ ህክምና ,neonatal-resuscitation_1487679104279,"neonatal-resuccitation_1486842879218, emergency-referral---neonatal-resuscitation_1527679552375, safe-oxygen-therapy_1530607642981, pediatric-drugs-and-fluids_1486735917639",,"/ethiopia amharic/Neonatal resuscitation/intro, /ethiopia amharic/Neonatal resuscitation/assess_the_newborn, /ethiopia amharic/Neonatal resuscitation/airway, /ethiopia amharic/Neonatal resuscitation/breathing, /ethiopia amharic/Neonatal resuscitation/when_to_stop_resuscitation, /ethiopia amharic/Neonatal resuscitation/monitoring","ampicillin_1486975748548, ceftriaxone_1487080443380, gentamicin_1487679704293, phenobarbital_1487158287290","adequate-breathing_1504254228875, golden-minute_1504254468378, assess-the-newborn-after-birth_1504256308739, skin-to-the-mother_1504256398872, first-step_1504256461191, meconium-suction-_1504256548380, correct-order-suction_1504256615224, stimulation-the-newborn_1504256686246, newborn-is-not-breathing-well_1504256807203, when-to-resuscitate_1504256982883, airway-call-for-help_1504257037350, airway-position-of-head_1504257274893, airway-position-of-mask_1504258127166, airway-effective-ventilation_1504258182479, number-of-inflation-breaths_1504258233083, jaw-thrust_1504258315698, successful-inflation-breaths_1504258364953, if-no-chest-movements_1504258411252, inflation-breaths_1504258492447, ventilation-breath_1504258548225, not-breathing-well_1504258620844, continue-ventilation-breaths_1504258677078, most-important-ventilation-breaths_1504258732578, rhythm-ventilation-breaths_1504258780270, good-ventilation_1504258849221, breathing---assessment_1504258930435, breathing---assessment_1504258984771, breathing-assessment---continued_1504259182601, action-if-breathing-well_1504259239916, give-oxygen_1504259318506, when-to-stop_1504259374882, resuscitation-stop-next_1504259443850, skin-to-skin-and-breastfeeding_1504259573821, monitoring_1504259668644, low-birth-weight-and-resuscitation_1504259731434, challenge-low-birth-weight_1504259788567, successful-inflation-breaths_1505392891735",51
አዲስ የተወለደ ህጻን ህክምና ,newborn-management_1487679126990,"prevention_1486813119229, neonatal-jaundice_1537288987547, routine-care_1486842306870, danger-signs_1486807603214, management-of-danger-signs_1486808272156, antibiotic-management_1536862985153, pediatric-drugs-and-fluids_1486735917639, safe-oxygen-therapy_1530607642981, emergency-referral---newborn-management_1527675027578","intravenous-access-equipment_1487245827833, nasogastric-tube_1487245852188, breastfeeding_1537451109093","/ethiopia amharic/Newborn management/intro, /ethiopia amharic/Newborn management/prevention, /ethiopia amharic/Newborn management/initial_care_of_the_newborn, /ethiopia amharic/Newborn management/danger_signs, /ethiopia amharic/Newborn management/referral","ampicillin_1486975748548, antibiotic-eye-drops_1490261954893, betamethasone_1487080183154, ceftriaxone_1487080443380, chlorhexidine_1527580209518, dexamethasone_1487101787771, gentamicin_1487679704293, oxytocin_1487156988152, phenobarbital_1487158287290, vitamin-k_1487160613336","common-causes-of-newborn-death_1500553429571, death-in-first-week_1500553499970, prevent-respiratory-distress-preterm_1500553601195, risk-factors-infection-newborn_1500553681339, prevent-newborn-infections_1500553770880, ab-to-newborn_1500553942631, risk-from-resuscitation_1500554103700, early-feeding_1500554299315, initial-care-of-the-newborn_1500554337833, initial-care-of-the-newborn-_1500554450890, not-crying-or-breathing-well_1500554397207, initial-care-of-lbw_1500554526669, lbw-unable-to-suck-adequately_1500554570547, signs-of-illness_1500554688877, management-of-danger-signs_1500554757277, danger-signs---airway_1500554845568, danger-signs---breathing_1500554890466, grunting_1500554955221, apnoea_1500554996619, shock_1500555055530, disability_1500555142461, danger-signs---exposure_1500555231782, jaundice_1500555273140, management---case_1500555311125, obstructed-airways_1500555401801, management---breathing_1500555450027, management-drowsy-and-unconscious_1500555531251, convulsions_1500555605930, management-of-danger-signs_1500555700421, management---jaundice_1500555760414, management---kangaroo-motherhood-care-_1500555801259, kangaroo-care_1504774517466, management---infections_1500555888659, risk-of-low-blood-sugar_1500555965754, newborn-cannot-suck_1500556011761, rural-facility-newborn-danger-signs_1500556085207, india---approach-assessment-of-newborn_1601019159203, india---approach-assessment-of-newborn_1601019691749, india---approach-in-assessment-of-newborn_1601019876696, trajal_1601024626413, bkabks_1601024987877, bla_1601454399904",69
