module_name,module_key,actionCards,procedures,videos,drugs,keyLearningPoints,total_resources
كوفيد-19,covid-19_1585220085931,"antenatal-care-_1589191954840, checklist-1_1585909349728, checklist-2_1585909384918, postnatal-care_1589204113382","mixing-alcohol-based-handrub_1487245431108, minimize-the-spread-of-covid-19-at-the-health-facility_1585565621400, five-steps-to-beat-covid-19-_1585566132690, symptoms-of-covid-19_1585563347070, are-pregnant-women-an-at-risk-group-_1585563945580, vertical-transmission-and-newborn-risk-_1585564745051, care-during-pregnancy-and-birth_1585565133736, breastfeeding-and-covid-19_1585565364051, covid-19-vaccination-guidelines_1615295296720",/mena - arabic/COVID-19/COVID-19,,"five-steps-to-beat-covid-19_1585566927795, breastfeeding-and-covid-19_1585567075194, ppe-and-covid-19_1585567250801, symptoms-of-covid-19_1585566325286, hand-hygiene-before-and-after-wearing-ppe_1585566612652, pregnant-women-at-risk-group_1585567435227, when-hand-hygiene_1585567541873, mode-of-delivery_1585567657138, care-during-birth_1585567787800, correct-order-ppe_1610437530201, correct-order-ppe---remove_1610438244585, ppe-for-different-patients_1610438745572, removing-rings-watches-etc_1610439419318, covid-19-transmission_1610440307685, receiving-a-woman_1610443422712, where-to-sneezecough_1610443963218, feeling-unwell_1610445386383, management-environment_1610445812764, temporarily-separated_1610446707798, right-to-quality-of-care_1610446936428, need-to-perform-hand-hygiene_1610447555689, symptoms-of-covid-19---anc-visits_1610449584822, pnc-remotely_1610450006093, number-of-anc-visits_1610457800238, preventing-transmission-to-newborn_1610458174176, prevent-spreading-at-health-care-facility_1610458481326, incubation-covid-19_1610460742382, women-and-companions---hand-hygiene_1610461893302, anc-remote-visits_1610462367813, hand-wash---how-long_1610462756574, handrub---how-long_1610463015475, remove-ppe---important-_1610463764797, corona-is_1610463960179, covid-19-postpartum-care_1610464509867, breastfeeding---covid-19-positive-mother_1610473659986",49
الوقاية من العدوى,infection-prevention_1487676001934,,mixing-alcohol-based-handrub_1487245431108,"/mena - arabic/Infection prevention/intro, /mena - arabic/Infection prevention/hand_hygiene, /mena - arabic/Infection prevention/procedure_for_handwash, /mena - arabic/Infection prevention/procedure_for_handrub, /mena - arabic/Infection prevention/personal_protective_equipment, /mena - arabic/Infection prevention/cleaning_decontamination, /mena - arabic/Infection prevention/storage, /mena - arabic/Infection prevention/housekeeping, /mena - arabic/Infection prevention/hiv_hepatitis_b_prevention",post-exposure-prophylaxis---pep_1490708337530,"prevent-infections_1497356424386, hand-hygiene-wash-and-alcohol_1497356912190, use-alcohol-based-handrub_1497357082394, soap-for-handwashing_1497357310306, personal-protective-equipment_1497357545527, gloves-for-different-patients_1497357682494, soap-solution_1497357821040, package-of-sterile-items_1497358040371, storage-of-sterile-items_1497358161852, cleaning-and-delivery-bed_1497358695244, recommended-vaccination_1497358858644, infections-and-maternal-death_1498119404097, infection-and-neonatal-death_1498119889065, infection-and-germs_1498122575522, healthcare-workers-hands_1498122780668, alcohol-most-effective_1498123474560, no-jewellery-on-hands_1498129645819, towel_1498130033393, when-hand-hygiene_1498130470830, order-of-cleaning-and-storage_1498131043643, disinfection-solution_1498131845883, spread-of-hiv-and-hep-b_1498132068449, when-hand-hygiene_1498206602602, wash-hands_1498466635307, procedure-for-handwashing_1498466869003, amount-of-handrub_1498468033321, product-in-alcohol-based-handrub_1498468332125, label-of-alcohol-based-handrub_1498468847400, removing-gloves_1498469162217, gloves-for-birth_1498469312963, high-risk-area_1498469624522, transmission-most-likely_1498469768452, action-if-exposed_1498469888180, soap-wet-container_1504268064997, air-dry-hands_1504268482403, product-in-alcohol-based-handrub-2_1511791111025",47
الرعاية بعد الإجهاض,post-abortion-care_1487676484604,"definitions_1486843717068, emergency-management_1486843944185, following-management_1486845338095, glasgow-coma-scale_1537285853137, emergency-referral---post-abortion-care_1527679414998","cleaning-manual-vacuum-aspirator_1487245553833, urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/mena - arabic/Post abortion care/intro, /mena - arabic/Post abortion care/how_to_diagnose, /mena - arabic/Post abortion care/how_to_manage, /mena - arabic/Post abortion care/evacuation_of_the_uterus, /mena - arabic/Post abortion care/manual_vacuum_aspiration","ampicillin_1486975748548, diazepam_1487102080825, gentamicin_1487679704293, ibuprofen_1490364323757, indomethacin_1487110102338, metronidazole_1487112262252, morphine_1487151518002","test-version_1498639439941, septic-abortion-_1504773307717, complication-to-unsafe-abortion_1504773499553, urine-test_1504773825842, complication-to-abortion_1504774087137, fever-and-septic-abortion_1504774293226, what-to-measure-_1504774413976, signs-of-septic-abortion_1504887365737, suspect-lower-abdominal-tenderness_1504887830839, septic-abortion-can-be-fatal_1504888032303, most-important-action-at-septic-abortion_1504889099044, action-at-septic-abortion_1504889244498, ab-and-evacuation-of-the-uterus_1504889778909, which-ab-to-give_1504889919542, urgent-management-_1504890132226, correct-order-of-actions_1504890487022, peritonitis_1504890766676, evacuation-of-the-uterus-_1504891033708, manual-vacuum-aspiration_1504891220598, uterus-size-in-week-12_1504891361270, preparation-for-mva_1504891579618, analgesic-for-mva_1504891713356, valves-closed_1504891839206, vacuum-to-mva-syringe_1504891916767, tenaculum_1504892022670, dilate-the-cervix_1504892212948, no-touch-technique_1504892332161, size-of-cannula-for-mva_1504893593707, insert-of-the-cannula_1504893750649, attachment-of-the-syringe_1504893864011, rotate-and-move-cannula-back-and-forth_1504893996349, end-of-suctioning_1504894096498, use-the-cannula-again_1504894223366, ab-after-mva_1504894299772, counselling_1504894423681, advise-before-dismission_1504894568322",56
فرط الضغط,hypertension_1487677992452,"definitions_1486814136250, management-hypertension_1486815930026, management-eclampsia_1486815158568, emergency-referral---hypertension_1527674369336","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, follow-up-visits_1597146284166","/mena - arabic/Hypertension/intro, /mena - arabic/Hypertension/definitions, /mena - arabic/Hypertension/causes, /mena - arabic/Hypertension/how_to_diagnose, /mena - arabic/Hypertension/management_of_hypertension, /mena - arabic/Hypertension/severe_preeclampsia_eclampsia","calcium-gluconate_1490273124941, dexamethasone_1487101787771, hydralazine_1487109388353, labetalol_1490625535572, lidocaine_1494407526870, magnesium-sulphate_1487111473832, methyldopa_1487111904464, nifedipine_1487151847555","severe-preeclampsia_1498640805283, gestational-hypertension_1498725687229, preeclampsia_1498726056310, severely-elevated-blood-pressure_1498726396275, severe-headache_1498726747222, visual-disturbances_1498727185096, upper-abdominal-pain_1498727830882, respiratory-distress_1498728011726, oliguria_1498728193444, eclampsia_1498728592426, eclampsia-normal-blood-pressure_1498728833764, differential-diagnosis_1498728983703, causes-of-pre-eclampsia_1498729147494, anc-blood-pressure_1498729463504, confirm-bp_1498732684396, confirmed-elevated-bp_1498733012381, keep-systolic-bp-below-160_1498733307152, keep-diastolic-bp-above-80_1498733486432, labetalol_1498733591134, methyldopa_1498733669777, iv-with-bp-above-160-_1498733752579, hydralazine_1498733943552, eclampsia-seizures_1498734086062, severe-pre-eclampsia-or-eclampsia_1498734362115, eclampsia---monitor-12-hour_1498735362891, give-magnesium-sulphate_1498735437004, toxicity_1498735622169, maintain-dose-magnesium-sulphate_1498735869673, refer-and-eclampsia_1498735994297, lung-maturity_1498736081492, proteinuria_1505054086730, cure-of-pre-eclampsia_1505055063577, maternal-death-and-pre-eclampsia_1505055560037, action-eclampsia_1505059069497, fluid-overload_1505059297071, calcium-gluconate_1505059639547",57
مخاض وولادة عاديتان,normal-labour-and-birth_1591261731571,,"initial-assessment_1591607594553, calculate-due-date-and-ga-_1591608714797, abdominal-examination-_1591608971713, foetal-heart-rate_1487245616159, vaginal-examination_1591619208367, monitoring-_1591619611932","/mena - arabic/Normal labour and birth/intro, /mena - arabic/Normal labour and birth/respectful_care, /mena - arabic/Normal labour and birth/initial_assessment, /mena - arabic/Normal labour and birth/1st_stage_latent_phase, /mena - arabic/Normal labour and birth/1st_stage_active_phase, /mena - arabic/Normal labour and birth/support, /mena - arabic/Normal labour and birth/2nd_stage_cervix_fully_dilated, /mena - arabic/Normal labour and birth/2nd_stage_delivering_the_baby","oxytocin_1487156988152, misoprostol_1487112562173","the-definition-of-a-normal-birth_1591262098315, what-is-respectful-care_1591263054900, a-child-born-in-week-36_1591262929871, start-of-a-spontaneous-normal-birth_1591263015279, fear-of-being-mistreated_1591263086625, -the-elements-of-true-respectful-care_1591263697768, the-first-thing-you-do_1591263789873, what-kind-of-danger-signs-should-be-examined_1591263871370, when-is-her-due-date_1591263922616, strong-contractions-5-6-minutes-apart_1591264352707, abdominal-examination_1591264446830, when-performing-a-ve_1591264522362, good-contractions-with-3-minutes-apart_1591264728966, the-documentation-on-the-partograph_1591264765702, the-labour-has-lasted-12-hours_1591264794611, help-the-woman-to-get-good-contractions_1591264824519, when-the-woman-wants-to-stand-up_1591264852797, the-woman-cannot-eat-or-drink-during-labour-and-birth_1591264872529, when-the-woman-is-in-an-upright-position_1591264988470, to-be-on-all-fours-and-give-birth_1591265006882, non-pharmacological-pain-relief_1591265044680, the-woman-can-push-when_1591265061690, what-needs-to-be-ready-for-the-birth_1591265072119, what-should-you-do-during-the-second-stage_1591265085908, how-would-you-help-the-woman-to-push_1591265236457, the-woman-can-give-birth-in-any-position-she-wants_1591265249333, what-kind-of-practices-should-not-be-performed_1591265261984, before-the-babys-head-is-about-to-be-born_1591265282391, after-the-head-is-born_1591265308433, if-the-head-and-the-shoulders-are-not-born-in-one-contraction_1591265330908, if-you-feel-a-lose-cord-around-the-neck_1591265342594, when-the-baby-is-born-with-meconium-and-is-breathing_1591265358689, the-baby-is-born-with-thick-meconium-and-does-not-breathe_1591265372552, what-do-you-do-when-the-baby-is-born_1591265384951, just-after-the-birth-of-the-baby_1591265396508",51
التدبير العلاجي الفعّال لمرحلة المخاض الثالثة,active-management-of-third-stage-labour_1487678773861,"routine-care_1486842306870, essential-steps-for-amtsl_1511870675743",breastfeeding_1537451109093,"/mena - arabic/Active management of third stage labour/intro, /mena - arabic/Active management of third stage labour/give_a_uterotonic_drug, /mena - arabic/Active management of third stage labour/assess_the_newborn, /mena - arabic/Active management of third stage labour/clamp_and_cut_the_umbilical_cord, /mena - arabic/Active management of third stage labour/controlled_cord_traction, /mena - arabic/Active management of third stage labour/examine_the_placenta, /mena - arabic/Active management of third stage labour/monitoring","antibiotic-eye-drops_1490261954893, chlorhexidine_1527580209518, misoprostol_1487112562173, oxytocin_1487156988152, vitamin-k_1487160613336","active-management_1499780658036, uterotonic-drug_1499780861769, oxytocin_1499780939312, dose-of-oxytocin_1499781138851, when-to-give-oxytocin_1499781203804, storage-of-oxytocin_1499781280757, misoprostol_1499781426287, administration-of-misoprostol_1499781506837, when-to-assess-the-newborn_1499781574406, thick-meconium_1499782019890, suction-thick-meconium_1499782064819, dry-of-the-baby_1499782139883, warm-baby_1499782287277, newborn-not-breathing-well_1499782350880, stable-newborn_1499782411878, clamp-umbilical-cord_1499782532294, cord-traction_1499782592747, counter-pressure-pubic-bone_1499782667213, rounded-uterus_1499782790928, push-for-the-placenta_1499782842943, check-uterus_1499782915737, measure-blood-loss_1499783000460, examine-the-placenta_1499783053169, maternal-surface-of-placenta_1499783139366, no-unattended-mother-and-newborn_1499783196382, skin-to-skin-contact_1499783293686, check-mother-after-birth_1499783355207, how-often-check-mother_1499783434630, how-often-check-newborn_1499783488277, check-the-newborn-after-birth_1499783546639, cord-monitor_1499783616183, eye-drop-and-vit-k_1499783708999, early-breastfeeding-newborn_1499783782397, early-breastfeeding-mother_1499783921892, delivery-of-membranes_1504531639638, estimation-of-blood-loss_1504531689289",51
الولادة المطولة,prolonged-labour_1487678855904,"indications_1486847771915, prerequisites_1486847909849, procedures-by-also_1486848037447, emergency-referral---prolonged-labour_1527679481738","urine-catheter_1487245590353, foetal-heart-rate_1487245616159, vacuum-extractor_1487245649303, intravenous-access-equipment_1487245827833","/mena - arabic/Prolonged labour/intro, /mena - arabic/Prolonged labour/causes, /mena - arabic/Prolonged labour/1st_stage_latent_phase, /mena - arabic/Prolonged labour/1st_stage_active_phase, /mena - arabic/Prolonged labour/2nd_stage_prolonged, /mena - arabic/Prolonged labour/2nd_stage_vacuum_extraction",oxytocin_1487156988152,"complication-prolonged-mother_1500303341759, complication-prolonged-infant_1500303472241, meaning-of-prolonged_1500303544246, power_1500303769050, pelvis-passage_1500303897179, small-pelvis_1500303985877, small-pelvis-refer_1500304101224, passenger_1500304149296, psyche_1500304254893, push_1500305543117, push-for-60-min_1500305592951, indication-for-vacuum-extraction-_1500305701962, assess-of-fhr_1500305759343, critical-fhr_1500305923791, condition-for-vacuum_1500305971761, risk-of-vacuum-extraction_1500306057945, preparation-of-vacuum_1500306101811, give-up-vacuum-delivery_1500306346908, incision-rarely_1500306426261, cephalic-occiput-posterior_1504777759514, more-comfortable_1504777788729, prolonged-first-stage-latent-phase_1504777971422, contractions-causes-if-not-prolonged-latent-phase_1504777990862, prolonged-first-stage-active-phase_1504778019268, progress-of-labour_1504778029127, partograph-with-dilatation-between-alert-and-action-line-_1504778050950, cervical-dilatation_1504778060957, immediate-delivery_1504778233462, head-above-the-pubic-bone_1504778275952, posterior-fontanelle-where_1504778354078, posterior-fontanelle_1504778363034, placing-the-cup_1504778371941, check-for-maternal-tissue_1504778388031, flexion-point_1504778425046, intact-perineum_1504778470373, prolonged-second-stage_1504778541913",51
نزيف ما بعد الولادة,post-partum-hemorrhage_1487678905876,"1-uterus_1486846813345, 2-legs_1486846790935, 3-arms_1486846769297, treatment-of-anaemia-after-pph_1588247313465, emergency-referral---post-partum-hemorrhage_1527674790869","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, condom-balloon-tamponade_1490714664807, non-pneumatic-anti-shock-garment-_1588750722253","/mena - arabic/Post partum hemorrage/intro, /mena - arabic/Post partum hemorrage/immediate_management, /mena - arabic/Post partum hemorrage/causes_of_bleeding, /mena - arabic/Post partum hemorrage/emergency_management_for_shock, /mena - arabic/Post partum hemorrage/emergency_management_for_atony, /mena - arabic/Post partum hemorrage/bimanual_compression, /mena - arabic/Post partum hemorrage/aorta_compression, /mena - arabic/Post partum hemorrage/uterine_balloon_tamponade, /mena - arabic/Post partum hemorrage/retained_placenta_fragments, /mena - arabic/Post partum hemorrage/bleeding_tears, /mena - arabic/Post partum hemorrage/monitoring_after_bleeding","ampicillin_1486975748548, diazepam_1487102080825, ergometrine_1487103846814, iron_1487110835869, misoprostol_1487112562173, morphine_1487151518002, oxytocin_1487156988152, tranexamic-acid_1490713231363, lidocaine_1494407526870","maternal-death-_1504532310198, loss-of-tone_1504532426966, call-for-help-then-stop-the-bleeding-_1504532471069, symptoms-for-pph_1504532547937, occult-bleeding_1504532588274, moderate-bleeding---characteristics-_1504532614848, moderate-bleeding-actions-act-differently-depending-on-the-character-of-the-bleeding_1504532653096, uterine-massage-_1504532689921, empty-the-bladder-_1504532728261, vital-signs_1504532772329, strong-bleeding--characteristics_1504532942008, bimanual-compression_1504532979962, bimanual-compression-procedure_1504533043410, bimanual-compression-type-of-gloves-_1504533076462, pph-drugs_1504533111438, misoprostol-_1504533151987, ergometrine-_1504533241147, prioritize-manual-maneuvers_1504533285341, bleeding-from-a-vaginal-tear-_1504533312898, always-do-a-rectal-exploration-_1504533348068, placental-tissue-missing-_1504533398776, treatment-if-there-is-placental-tissue-missing-_1504533431739, removal-tissue-1_1504533465688, removal-tissue-2_1504533503753, when-to-measure-hemoglobin-_1504533536483, observation-after-treatment-pph-_1504533565253, cbt-is-indicated-_1504533594043, the-causes-of-vaginal-bleeding-_1504533620719, positioning-pph_1504533661330, positioning---vital-organs-_1504533702197, actions-helper-at-the-head_1504533732416, actions-helper-at-the-arm_1504533786043, referral-pph_1504533836750, iv-fluids-pph_1504533868169, oxytocin-storage_1504533913864, cardiovascular-symptoms-pph_1504533944971, who-call-for-help-then-stop-the-bleeding_1601365777886, bla-bla_1601370211220, call-for-help-emergency-management-stop-bleeding_1602065784880",68
الإزالة اليدوية للمشيمة,manual-removal-of-placenta_1487678949720,emergency-referral---manual-removal-of-placenta_1527679516504,"urine-catheter_1487245590353, intravenous-access-equipment_1487245827833, condom-balloon-tamponade_1490714664807","/mena - arabic/Manual removal of placenta/intro, /mena - arabic/Manual removal of placenta/resuscitation, /mena - arabic/Manual removal of placenta/drugs_before_removal, /mena - arabic/Manual removal of placenta/gloves, /mena - arabic/Manual removal of placenta/remove_the_placenta, /mena - arabic/Manual removal of placenta/drugs_after_removal, /mena - arabic/Manual removal of placenta/monitoring","ampicillin_1486975748548, diazepam_1487102080825, ergometrine_1487103846814, iron_1487110835869, morphine_1487151518002, misoprostol_1487112562173, oxytocin_1487156988152, tranexamic-acid_1490713231363","time-before-placenta-be-born_1500550057787, remove-manually_1500550146760, life-threatening_1500550548020, overall-action_1500550609958, mother-in-shock_1500550773682, how-aorta-compression_1500550835318, adequate-aorta-compression_1500550901996, maintain-compression_1500550952103, iv-fluid_1500551093153, fluid-gives-fast-_1500551155005, blood-transfusion_1500551204516, pain-relief_1500551251327, pain-relief-and-aorta-compression_1500551299297, gloves-and-manual-removal-of-placenta_1500551362316, right-order-for-removal-of-placenta_1500551561159, placenta-detached_1500551743553, the-overall-action-to-control-pph_1500551855322, condom-tamponade_1500551920106, bolus-drug-after-removal-of-placenta_1500551982282, day-after-recommendations_1500552382430, refer-manual-removal_1500552464602, manual-removal-bemonc_1504534513078, when-manual-removal_1504534643086, heavy-bleeding_1504534768047, blood-inside-uterus_1504534828505, excessive-bleeding_1504535064090, stop-bleeding-retained-placenta_1504535188380, resuscitation_1504535401875, stop-compression-at-resuscitation_1504682726957, how-to-manually-remove-the-placenta_1504686597840, aorta-compression-and-manual-removal_1504686794869, repeat-intrauterine-palpation_1504687023070, manual-compression-ended-aorta-compression_1504687099431, invasive_1504687163659, after-removal-of-placenta_1504687463704, action-right-after-removal-of-placenta_1504687629838",55
الإنتان النفاسي,maternal-sepsis_1487679043550,"definitions_1486838289048, glasgow-coma-scale_1537285853137, emergency-management_1486839145753, following-management_1486840964786, identify-cause_1486841405518, emergency-referral---maternal-sepsis_1527674910564","urine-catheter_1487245590353, intravenous-access-equipment_1487245827833","/mena - arabic/Maternal sepsis/intro, /mena - arabic/Maternal sepsis/how_to_diagnose_definitions, /mena - arabic/Maternal sepsis/how_to_manage, /mena - arabic/Maternal sepsis/following_management, /mena - arabic/Maternal sepsis/origin_of_infection, /mena - arabic/Maternal sepsis/hiv","ampicillin_1486975748548, artesunate_1487078838130, betamethasone_1487080183154, chloramphenicol_1487097224306, dexamethasone_1487101787771, dicloxacillin_1487103485964, gentamicin_1487679704293, metronidazole_1487112262252, penicillin-g-benzylpenicillin_1487157542019, quinine_1487158788622, ceftriaxone_1487080443380","meaning-of-sepsis_1504944629301, diagnose-sepsis_1504944721115, septic-shock_1504944788616, vital-signs_1504944907638, importance-of-fluid-management_1504944997773, assess-of-fluid-balance_1504945090408, fluid-balance-be-calculated_1504945280195, fluid-balance-be_1504945346611, in-case-of-a-septic-shock-it-should-be-calculated-each-hour_1504945415855, complications-to-sepsis_1504945501258, initial-management_1504945569353, circulation-_1504945650697, drugs_1504945729088, ampicillin-sepsis_1504945793742, gentamicin_1504945982881, metronidazole_1504946039271, ceftriaxone_1504946097782, tetracycline_1504946176147, chloramphenicol_1504946438452, malaria_1504946617389, malaria-drugs_1504946711304, artesuanate_1504946886646, quinine_1504947056059, dosage-artesuanate_1504947115207, dosage-quinine_1504947179913, the-6-ws_1504947235003, the-6-ws-continue_1504947447368, chorioamnionitis_1504947765349, endometritis_1504947835819, treatment-for-chorioamnionitis_1504947946364, treatment-for-endometritis_1504948024311, endometritis-and-no-effect-of-ab_1504948113282, mastitis_1504948177504, breast-abscess_1504948229532, wound-infections_1504948296628, other-causes-of-infection_1504948359563",61
